Ad Group,Missing Term,Why It Belongs,Priority,Suggested Match Type,Source,Avg Monthly Searches,Competition,Competition Index,Top of Page Bid Range,Notes / Negatives
California Fulfillment,southern california 3pl,Geo + fulfillment intent variant aligned to regional campaign targeting.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: new jersey, amazon, beauty, new york"
California Fulfillment,california ecommerce fulfillment center,Geo + fulfillment intent variant aligned to regional campaign targeting.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: new jersey, amazon, beauty, new york"
California Fulfillment,west coast 3pl california,Geo + fulfillment intent variant aligned to regional campaign targeting.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: new jersey, amazon, beauty, new york"
California Fulfillment,california pick and pack fulfillment,Geo + fulfillment intent variant aligned to regional campaign targeting.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: new jersey, amazon, beauty, new york"
New Jersey Fulfillment,new jersey ecommerce fulfillment center,Geo + fulfillment intent variant aligned to regional campaign targeting.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, amazon, beauty, new york"
New Jersey Fulfillment,nj 3pl warehouse,Geo + fulfillment intent variant aligned to regional campaign targeting.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, amazon, beauty, new york"
New Jersey Fulfillment,east coast 3pl new jersey,Geo + fulfillment intent variant aligned to regional campaign targeting.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, amazon, beauty, new york"
New Jersey Fulfillment,new jersey order fulfillment company,Geo + fulfillment intent variant aligned to regional campaign targeting.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, amazon, beauty, new york"
Amazon Fulfillment,amazon fba prep center,Transactional Amazon logistics variant aligned to fulfillment outsourcing intent.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, beauty, new york"
Amazon Fulfillment,fba prep services,Transactional Amazon logistics variant aligned to fulfillment outsourcing intent.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, beauty, new york"
Amazon Fulfillment,amazon prep center 3pl,Transactional Amazon logistics variant aligned to fulfillment outsourcing intent.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, beauty, new york"
Amazon Fulfillment,fbm 3pl amazon,Transactional Amazon logistics variant aligned to fulfillment outsourcing intent.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, beauty, new york"
3PL,3pl fulfillment company,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
3PL,3pl provider ecommerce,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
3PL,outsourced fulfillment services,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
3PL,third party logistics provider,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
beauty fulfillment,cosmetics 3pl,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, new york"
beauty fulfillment,beauty product fulfillment center,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, new york"
beauty fulfillment,skincare fulfillment services,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, new york"
beauty fulfillment,supplement and beauty fulfillment,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, new york"
New York Fulfillment,new york 3pl warehouse,Geo + fulfillment intent variant aligned to regional campaign targeting.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
New York Fulfillment,nyc fulfillment center,Geo + fulfillment intent variant aligned to regional campaign targeting.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
New York Fulfillment,new york ecommerce fulfillment company,Geo + fulfillment intent variant aligned to regional campaign targeting.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
Clothing Fulfillment,fashion fulfillment services,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
Clothing Fulfillment,garment fulfillment center,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
Clothing Fulfillment,clothing 3pl services,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
Shirt Fulfillment,custom t shirt fulfillment,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
Shirt Fulfillment,bulk t shirt fulfillment,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
Shirt Fulfillment,print on demand shirt fulfillment,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
Apparel Fulfillment,apparel 3pl services,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
Apparel Fulfillment,fashion apparel fulfillment,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
Apparel Fulfillment,apparel pick and pack,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
"Ecommerce Fulfillment Services, Companies",ecommerce 3pl services,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
"Ecommerce Fulfillment Services, Companies",shopify ecommerce fulfillment services,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
"Ecommerce Fulfillment Services, Companies",direct to consumer fulfillment services,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
fulfillment center,fulfillment center services,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
fulfillment center,3pl fulfillment center,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
fulfillment center,order fulfillment center,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
Los Angeles Fulfillment,ecommerce order fulfillment company,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"
Los Angeles Fulfillment,3pl warehouse services,Commercial service variant aligned to this ad group theme.,Watch,Phrase,rule_template,0,UNKNOWN,-1,$0.00-$0.00,"Start with Phrase; add negatives: california, new jersey, amazon, beauty"